Museum,City,Population,Visitors,Predicted_Visitors
Louvre,"Paris, France",11020000.0,2600000,2326436.3861418506
National Museum of China,"Beijing, China",19433000.0,2378000,2331620.3220350225
China Science and Technology Museum,"Beijing, China",19433000.0,2360000,2331620.3220350225
Shanghai Science and Technology Museum,"Shanghai, China",22120000.0,2368000,2333276.0020237253
Shanghai Natural History Museum,"Shanghai, China",22120000.0,2166000,2333276.0020237253
Russian Museum,"Saint Petersburg, Russia",5351935.0,2260231,2322943.828719013
Multimedia Art Museum,"Moscow, Russia",17125000.0,2242405,2330198.1748768818
Nanjing Museum,"Nanjing, China",7496000.0,2034000,2324264.962144758
