Museum,City,Population,Visitors,Predicted_Visitors
Louvre,"Paris, France",11020000.0,2600000,2283584.9006989608
National Museum of China,"Beijing, China",19433000.0,2378000,2316347.59974269
China Science and Technology Museum,"Beijing, China",19433000.0,2360000,2316347.59974269
Shanghai Science and Technology Museum,"Shanghai, China",22120000.0,2368000,2326811.568877422
Shanghai Natural History Museum,"Shanghai, China",22120000.0,2166000,2326811.568877422
Russian Museum,"Saint Petersburg, Russia",5351935.0,2260231,2261511.786737794
Multimedia Art Museum,"Moscow, Russia",17125000.0,2242405,2307359.5681971144
Nanjing Museum,"Nanjing, China",7496000.0,2034000,2269861.407125907
